Row Labels,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,Average of E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME1_ADD,SPL_THEME2_ADD,SPL_THEME3_ADD,SPL_THEME4_ADD,SPL_THEMES_ADD,zcta,neighborhood,borough
11355,76159,28870,26252,16448,1371,21186,17541,13710,12584,6003,1089,69894,29898,18014,32,4162,13820,589,21.6,1.8,21186,23.03,18,16.52,7.88,1.43,91.77,39.26,23.65,0.04,5.46,18.15,0.77,0.9167,0.2189,0.0523,0.9941,0.546,0.2071,0.1121,0.1635,0.9764,0.9995,0.902,0.2262,0.9872,0.8971,0.4304,2.182,1.0287,1.9759,3.4429,8.6295,11355,North Queens,Queens
11367,40945,15348,14225,5878,1194,26079,3892,6334,10023,4042,1217,21513,5019,5066,15,1263,4069,1038,14.36,2.92,26079,9.51,15.47,24.48,9.87,2.97,52.54,12.26,12.37,0.04,3.09,9.94,2.53,0.7311,0.6234,0.2191,0.7776,0.3065,0.8746,0.2639,0.5749,0.8809,0.9569,0.8667,0.2193,0.9378,0.8545,0.7095,2.3512,2.0199,1.8378,3.5878,9.7967,11367,Central Queens,Queens
11411,21214,6572,6363,898,776,34193,1338,4133,3714,2105,488,21014,409,30,20,180,844,18,4.23,3.66,34193,6.31,19.48,17.51,9.92,2.3,99.06,1.93,0.14,0.09,0.85,3.98,0.08,0.1165,0.8246,0.6169,0.4637,0.6953,0.2575,0.2673,0.3829,0.999,0.7164,0.1209,0.2908,0.6532,0.7169,0.1224,2.0217,1.603,1.7154,1.9042,7.2443,11411,Southeast Queens,Queens
11423,29444,9864,9118,2759,1317,30222,3457,4520,5551,3212,890,27063,1923,2650,24,764,2276,486,9.37,4.47,30222,11.74,15.35,18.85,10.91,3.02,91.91,6.53,9,0.08,2.59,7.73,1.65,0.4382,0.9182,0.4466,0.8809,0.2943,0.353,0.3403,0.592,0.9769,0.9108,0.8413,0.281,0.9147,0.8359,0.6175,2.6839,1.5796,1.8877,3.4904,9.6416,11423,Jamaica,Queens
11427,23224,8029,7590,1742,625,32483,2289,3820,4732,2065,411,18732,1505,1996,15,469,1507,375,7.5,2.69,32483,9.86,16.45,20.37,8.89,1.77,80.66,6.48,8.59,0.07,2.02,6.49,1.61,0.3114,0.5435,0.5513,0.8001,0.3839,0.4955,0.187,0.2502,0.9534,0.9103,0.8374,0.2619,0.8751,0.8114,0.6116,2.2063,1.3166,1.8637,3.3974,8.784,11427,Southeast Queens,Queens
11428,20989,6460,6017,1545,727,27938,2353,3201,4189,1717,372,18836,1599,400,21,301,944,26,7.36,3.46,27938,11.21,15.25,19.96,8.18,1.77,89.74,7.62,1.91,0.1,1.43,4.5,0.13,0.3036,0.7722,0.3209,0.8648,0.2859,0.4603,0.1317,0.2512,0.972,0.926,0.5734,0.2972,0.8085,0.7526,0.1444,2.2615,1.1291,1.898,2.5761,7.8647,11428,Southeast Queens,Queens
11379,37366,14606,13492,3058,948,34536,3401,6575,7292,3341,803,12477,2990,1608,4,649,2543,298,8.19,2.54,34536,9.1,17.6,19.51,8.94,2.15,33.39,8,4.3,0.01,1.74,6.81,0.8,0.3584,0.4848,0.6262,0.7473,0.5127,0.4118,0.1904,0.3432,0.7884,0.9319,0.7522,0.1821,0.8511,0.8163,0.4353,2.2167,1.4581,1.7203,3.037,8.4321,11379,West Central Queens,Queens
11374,43429,21219,19662,6007,1134,39049,3335,9286,6675,5322,695,24222,6133,16665,1,1773,9058,123,13.83,2.61,39049,7.68,21.38,15.37,12.25,1.6,55.78,14.12,38.37,0,4.08,20.86,0.28,0.7037,0.5171,0.7265,0.6209,0.805,0.1684,0.472,0.2047,0.8996,0.9662,0.9343,0.1655,0.9701,0.9113,0.2355,2.5682,1.6501,1.8658,3.2167,9.3008,11374,West Central Queens,Queens
11429,25114,7256,6873,2179,1933,29529,2704,3578,4825,2309,674,24729,1306,228,17,471,1178,125,8.68,7.7,29529,10.76,14.25,19.21,9.19,2.68,98.47,5.2,0.91,0.07,1.87,4.69,0.5,0.3966,0.9936,0.4143,0.8408,0.2071,0.3868,0.2086,0.4911,0.9946,0.8873,0.3952,0.2644,0.8623,0.7615,0.3364,2.6453,1.2936,1.8819,2.6198,8.4406,11429,Southeast Queens,Queens
11385,105581,37759,34627,12034,2724,30527,12436,10962,23765,6621,3391,57186,13344,2741,37,2222,14405,177,11.4,2.58,30527,11.78,10.38,22.51,6.27,3.21,54.16,12.64,2.6,0.03,2.1,13.64,0.17,0.5641,0.5039,0.4628,0.8814,0.0734,0.7169,0.0553,0.6478,0.8947,0.9603,0.642,0.2164,0.8809,0.8756,0.162,2.4122,1.4934,1.855,2.7769,8.5375,11385,West Central Queens,Queens
11426,21134,6412,6104,1879,503,30011,1898,3030,4497,1641,222,15722,1491,247,10,358,548,656,8.89,2.38,30011,8.98,14.33,21.28,7.77,1.05,74.39,7.05,1.17,0.05,1.7,2.59,3.1,0.4123,0.4187,0.4383,0.7375,0.2115,0.6033,0.1043,0.0905,0.9397,0.9221,0.4549,0.2326,0.8457,0.5455,0.7546,2.0068,1.0096,1.8618,2.8333,7.7115,11426,Southeast Queens,Queens
11422,32010,10129,9491,2462,1005,33853,2670,4281,6493,2910,1188,31013,1048,80,10,453,1578,60,7.69,3.14,33853,8.34,13.37,20.28,9.09,3.71,96.88,3.27,0.25,0.03,1.42,4.93,0.19,0.3281,0.6885,0.6066,0.6758,0.1655,0.4877,0.1983,0.76,0.9867,0.8305,0.1704,0.2105,0.806,0.7727,0.1748,2.299,1.6115,1.8172,2.1344,7.8621,11422,Southeast Queens,Queens
11366,14658,5086,4651,1757,552,29187,1245,2521,3158,1186,246,8945,1790,285,5,272,572,211,11.99,3.77,29187,8.49,17.2,21.54,8.09,1.68,61.02,12.21,1.94,0.03,1.85,3.9,1.44,0.5964,0.8432,0.3987,0.6909,0.4696,0.639,0.1248,0.2296,0.9113,0.9559,0.5803,0.213,0.8609,0.7115,0.5788,2.5292,1.463,1.8672,2.9445,8.8039,11366,Central Queens,Queens
11354,55771,22364,19958,10791,1061,23895,11402,10805,8788,4494,1140,47144,20345,13745,35,2105,9557,1419,19.35,1.9,23895,20.44,19.37,15.76,8.06,2.04,84.53,36.48,24.65,0.06,3.78,17.14,2.55,0.8888,0.2517,0.1159,0.9848,0.6836,0.1772,0.1224,0.3148,0.9622,0.999,0.9049,0.2556,0.9647,0.8952,0.7105,2.2412,1.298,1.9612,3.7309,9.2313,11354,North Queens,Queens
11357,40405,16145,14658,2414,1045,36951,4345,8711,7967,4629,557,16788,4483,2621,29,331,1715,203,5.97,2.59,36951,10.75,21.56,19.72,11.46,1.38,41.55,11.1,6.49,0.07,0.82,4.24,0.5,0.2174,0.5068,0.6868,0.8393,0.8119,0.4353,0.3937,0.1542,0.8364,0.9505,0.8099,0.2678,0.6425,0.736,0.3428,2.2503,1.7951,1.7869,2.799,8.6313,11357,North Queens,Queens
11356,23405,8128,7362,2841,457,25591,3683,3292,5394,1348,463,16870,4421,150,11,550,1461,345,12.14,1.95,25591,15.73,14.07,23.04,5.76,1.98,72.08,18.89,0.64,0.05,2.35,6.24,1.47,0.6057,0.2644,0.1961,0.9549,0.1968,0.7717,0.0396,0.2987,0.9358,0.9838,0.33,0.2355,0.9,0.806,0.5886,2.0211,1.3068,1.9196,2.8601,8.1076,11356,North Queens,Queens
11697,3541,2554,1366,110,76,27178,58,900,771,493,21,297,11,10,53,25,152,5,3.11,2.15,27178,1.65,25.41,21.77,13.92,0.59,8.39,0.31,0.28,1.5,0.71,4.3,0.14,0.0509,0.3349,0.2773,0.0411,0.9162,0.6571,0.6292,0.0337,0.4098,0.2571,0.1909,0.4676,0.5803,0.7433,0.1493,0.7042,2.2362,0.6669,2.1314,5.7387,11697,Rockaways,Queens
11694,21038,9364,8315,2015,537,45645,1702,4384,4039,3494,338,5438,515,3397,6,288,1904,1559,9.58,2.55,45645,8.09,20.84,19.2,16.61,1.61,25.85,2.45,16.14,0.03,1.37,9.05,7.41,0.4578,0.4887,0.818,0.6576,0.7742,0.3858,0.8305,0.2091,0.7091,0.7703,0.879,0.2056,0.7992,0.8486,0.8731,2.4221,2.1996,1.4794,3.6055,9.7066,11694,Rockaways,Queens
11693,12378,5299,4769,1529,337,25442,1275,1540,2748,1686,582,6525,982,2682,0,204,1443,132,12.35,2.72,25442,10.3,12.45,22.2,13.62,4.7,52.71,7.93,21.67,0,1.65,11.66,1.07,0.6175,0.5548,0.1927,0.8222,0.1361,0.6895,0.5999,0.8854,0.8814,0.9304,0.8947,0,0.8349,0.8638,0.5078,2.1872,2.3109,1.8118,3.1012,9.4111,11693,Rockaways,Queens
11692,22716,7940,7159,5643,1147,22369,3465,2605,6526,3518,1451,20254,1278,3072,16,587,3065,1206,24.84,5.05,22369,15.25,11.47,28.73,15.49,6.39,89.16,5.63,13.53,0.07,2.59,13.49,5.31,0.9382,0.9564,0.0733,0.9476,0.1003,0.973,0.7507,0.9647,0.9706,0.8947,0.8702,0.2668,0.9142,0.8751,0.8369,2.9155,2.7887,1.8653,3.7632,11.3327,11692,Rockaways,Queens
11358,37887,14290,13316,3852,870,32199,4946,7134,6509,2728,549,25453,7842,1638,19,633,2808,89,10.17,2.3,32199,13.05,18.83,17.18,7.2,1.45,67.18,20.7,4.32,0.05,1.67,7.41,0.23,0.4946,0.3912,0.541,0.9084,0.6332,0.2389,0.0822,0.1679,0.927,0.9882,0.7536,0.2409,0.8388,0.8266,0.212,2.3352,1.1222,1.9152,2.8719,8.2445,11358,North Queens,Queens
11360,19325,9511,8610,1692,397,46136,1056,5273,3203,2220,353,8535,2091,4314,35,189,1248,17,8.76,2.05,46136,5.47,27.29,16.58,11.49,1.83,44.17,10.82,22.32,0.18,0.98,6.46,0.09,0.402,0.3065,0.8228,0.3721,0.9397,0.2095,0.3976,0.2619,0.8472,0.949,0.8981,0.3339,0.7012,0.8104,0.1258,1.9034,1.8087,1.7962,2.8694,8.3777,11360,North Queens,Queens
11359,7,4,3,0,0,40099,0,2,1,1,0,3,1,2,0,0,0,0,2.9,1.68,40099,3.91,26.71,16.92,7.67,2.09,44.21,9.6,22.87,0.68,0.41,5.42,0,0.044,0.1772,0.7485,0.213,0.9319,0.2247,0.0979,0.3261,0.8481,0.9417,0.8991,0.4167,0.3702,0.7855,0,1.1827,1.5806,1.7898,2.4715,7.0246,11359,North Queens,Queens
11361,27808,11190,10163,2306,619,37706,2612,5565,4881,2685,494,16407,3739,2154,41,439,1213,472,8.29,2.23,37706,9.39,20.01,17.55,9.65,1.78,59,13.45,7.75,0.15,1.58,4.36,1.7,0.3653,0.3653,0.7045,0.7717,0.7282,0.2605,0.2419,0.2517,0.9094,0.9632,0.8295,0.3188,0.8271,0.7477,0.6224,2.2068,1.4823,1.8726,3.3455,8.9072,11361,Northeast Queens,Queens
11365,46228,16686,16039,5305,2145,27872,4515,7069,9105,3774,1176,34376,7143,5347,14,1118,3228,78,11.48,4.64,27872,9.77,15.29,19.7,8.16,2.54,74.36,15.45,11.57,0.03,2.42,6.98,0.17,0.57,0.928,0.316,0.7933,0.2879,0.4309,0.1302,0.4578,0.9392,0.9711,0.8614,0.2086,0.904,0.8207,0.163,2.6073,1.3068,1.9103,2.9577,8.7821,11365,Central Queens,Queens
11364,36736,14291,13558,3163,841,36682,2994,6662,7218,2990,928,24019,5751,2535,14,570,1531,107,8.61,2.29,36682,8.15,18.13,19.65,8.14,2.53,65.38,15.65,6.9,0.04,1.55,4.17,0.29,0.3888,0.3898,0.679,0.6625,0.5572,0.426,0.1273,0.4539,0.9226,0.9725,0.8168,0.2228,0.8232,0.7301,0.2404,2.1201,1.5644,1.8951,2.8333,8.4129,11364,Northeast Queens,Queens
11362,18698,7503,7168,1134,402,35921,1403,4870,2982,1891,214,10362,2190,742,26,185,696,248,6.06,2.15,35921,7.5,26.05,15.95,10.12,1.14,55.42,11.71,3.97,0.14,0.99,3.72,1.33,0.2262,0.3374,0.659,0.6043,0.9236,0.1851,0.282,0.1092,0.8991,0.9549,0.7326,0.3158,0.7042,0.6988,0.5641,1.8269,1.4999,1.854,3.0155,8.1963,11362,Northeast Queens,Queens
11363,6925,2706,2634,375,153,52707,255,1443,1382,558,136,3470,534,486,0,110,262,0,5.42,2.22,52707,3.69,20.84,19.96,8.06,1.96,50.12,7.71,7.02,0,1.59,3.78,0,0.1924,0.3628,0.8762,0.1949,0.7737,0.4608,0.1219,0.2948,0.877,0.9285,0.8183,0,0.8276,0.7037,0,1.6263,1.6512,1.8055,2.3496,7.4326,11363,Northeast Queens,Queens
11005,1749,1613,1271,186,0,64070,31,1535,0,727,0,48,11,1548,35,15,287,0,10.63,0,64070,1.77,87.76,0,41.57,0,2.74,0.63,88.51,2,0.86,16.41,0,0.521,0,0.9182,0.0499,1,0,1,0,0.0587,0.4392,0.9931,0.4921,0.6557,0.8912,0,1.4891,2,0.4979,3.0321,7.0191,11005,Southeast Queens,Queens
11004,15885,5704,5534,876,356,32921,1068,3298,2712,1668,184,10145,809,566,0,176,453,802,5.51,2.24,32921,6.73,20.76,17.08,10.5,1.16,63.87,5.09,3.57,0,1.11,2.85,5.05,0.1958,0.3677,0.5738,0.5117,0.7693,0.235,0.3104,0.1126,0.9187,0.8849,0.7149,0,0.735,0.6101,0.8305,1.649,1.4273,1.8036,2.8905,7.7704,11004,Southeast Queens,Queens
10301,39463,16760,14709,8220,867,36073,3506,5821,8770,3881,1651,22503,1859,5522,47,849,4726,2070,20.83,2.2,36073,8.88,14.75,22.22,9.84,4.18,57.02,4.71,13.99,0.12,2.15,11.97,5.24,0.9098,0.3545,0.6634,0.7311,0.2487,0.6914,0.2595,0.8369,0.903,0.8785,0.8707,0.3085,0.8863,0.8663,0.8344,2.6588,2.0365,1.7815,3.7662,10.243,10301,Stapleton and St. George,Staten Island
10305,42699,16219,14758,5506,1155,32195,4514,6289,9085,4864,976,16481,3284,2416,66,922,2729,985,12.9,2.7,32195,10.57,14.73,21.28,11.39,2.29,38.6,7.69,5.66,0.15,2.16,6.39,2.31,0.6518,0.5494,0.5406,0.833,0.2463,0.6028,0.3868,0.3809,0.8222,0.9275,0.7967,0.3232,0.8868,0.8095,0.6851,2.5748,1.6168,1.7497,3.5013,9.4426,10305,Stapleton and St. George,Staten Island
10304,40599,15893,14161,8828,1188,33998,4593,5824,9382,4727,1767,25646,3135,4270,62,814,4288,1248,21.74,2.92,33998,11.31,14.34,23.11,11.64,4.35,63.17,7.72,10.52,0.15,2.01,10.56,3.07,0.9187,0.6243,0.6125,0.8677,0.2125,0.7771,0.4094,0.853,0.9172,0.9289,0.853,0.3222,0.8736,0.8589,0.7531,3.0232,2.252,1.8461,3.6608,10.7821,10304,Stapleton and St. George,Staten Island
10310,22066,8977,8037,4178,487,36737,2366,3110,5434,2169,1088,12898,1248,1099,24,381,2093,100,18.93,2.21,36737,10.72,14.09,24.63,9.83,4.93,58.45,5.66,4.98,0.11,1.73,9.48,0.45,0.8805,0.3584,0.6824,0.8374,0.1993,0.8809,0.259,0.9074,0.9079,0.8956,0.782,0.3031,0.8496,0.8511,0.3134,2.7587,2.2466,1.8035,3.0992,9.908,10310,Port Richmond,Staten Island
10306,53479,21407,19898,5153,1248,36010,3961,9722,10258,6235,909,12814,2257,2112,0,546,3030,700,9.64,2.33,36010,7.41,18.18,19.18,11.66,1.7,23.96,4.22,3.95,0,1.02,5.67,1.31,0.4642,0.404,0.6619,0.5954,0.5617,0.3839,0.4118,0.235,0.6914,0.8667,0.7311,0,0.7184,0.7938,0.5626,2.1255,1.5924,1.5581,2.8059,8.0819,10306,South Shore,Staten Island
10308,28019,10489,9846,1853,868,38439,1350,5018,5637,2760,589,4857,707,287,14,212,775,43,6.61,3.1,38439,4.82,17.91,20.12,9.85,2.1,17.34,2.52,1.02,0.05,0.76,2.77,0.15,0.2571,0.6782,0.7147,0.2997,0.5362,0.473,0.261,0.3285,0.6101,0.7801,0.426,0.237,0.6106,0.591,0.1557,1.9497,1.5987,1.3902,2.0203,6.9589,10308,South Shore,Staten Island
10302,18193,6781,6100,3036,308,30823,2041,1875,4287,1616,501,12390,1384,422,1,300,1473,130,16.69,1.7,30823,11.22,10.31,23.56,8.88,2.76,68.1,7.61,2.32,0.01,1.65,8.1,0.72,0.8261,0.1802,0.4755,0.8658,0.0719,0.8109,0.1856,0.5181,0.9294,0.9255,0.6199,0.1758,0.8339,0.8428,0.4196,2.3476,1.5865,1.8549,2.892,8.681,10302,Port Richmond,Staten Island
10312,62905,23047,21944,3861,1422,38391,2807,10891,13376,5610,1324,11060,1330,219,42,441,1344,94,6.14,2.26,38391,4.46,17.31,21.26,8.92,2.1,17.58,2.11,0.35,0.07,0.7,2.14,0.15,0.2306,0.3795,0.7137,0.2624,0.4838,0.6008,0.189,0.33,0.615,0.7321,0.2203,0.2615,0.5749,0.4436,0.1527,1.5862,1.6036,1.3471,1.653,6.1899,10312,South Shore,Staten Island
10314,90119,33006,31199,8569,2009,36839,6460,15217,19262,8618,1793,34271,3977,2611,67,1489,3827,1060,9.51,2.23,36839,7.17,16.88,21.37,9.56,1.99,38.03,4.41,2.9,0.07,1.65,4.25,1.18,0.4495,0.3672,0.6844,0.571,0.4353,0.6145,0.236,0.3011,0.8192,0.8721,0.6743,0.2717,0.8359,0.737,0.5308,2.0721,1.5869,1.6913,3.0497,8.4,10314,Mid-Island,Staten Island
10309,34061,12177,11698,3086,446,41301,2019,5220,7852,2783,732,5008,475,162,16,165,649,181,9.06,1.31,41301,5.93,15.33,23.05,8.17,2.15,14.7,1.4,0.48,0.05,0.48,1.91,0.53,0.4216,0.0749,0.7685,0.4167,0.2904,0.7732,0.1307,0.3428,0.5744,0.6464,0.261,0.2331,0.4216,0.3761,0.3545,1.6817,1.5371,1.2208,1.6463,6.0859,10309,South Shore,Staten Island
10303,26795,9398,8331,6655,489,25667,3334,2499,7382,2459,1348,21674,1663,1282,164,838,2217,148,24.84,1.83,25667,12.44,9.33,27.55,9.18,5.03,80.89,6.21,4.78,0.61,3.13,8.27,0.55,0.9378,0.2296,0.1976,0.8932,0.0582,0.9583,0.2076,0.9138,0.9544,0.9054,0.7732,0.4094,0.9402,0.8442,0.3628,2.2582,2.1379,1.8598,3.3298,9.5857,10303,Port Richmond,Staten Island
10307,14895,5399,5183,1025,365,40069,679,1721,3598,1013,261,1910,178,80,0,177,435,50,6.88,2.45,40069,4.56,11.55,24.15,6.8,1.75,12.82,1.2,0.54,0,1.19,2.92,0.33,0.2752,0.4495,0.7475,0.2786,0.1038,0.8501,0.0719,0.2458,0.5352,0.6062,0.2835,0,0.758,0.6214,0.2639,1.7508,1.2716,1.1414,1.9268,6.0906,10307,South Shore,Staten Island
