zcta,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
1001,17438,33,22,32,21,37,59,43,59,34,34,87,43,55,40,7.41,13.75,1.11,8.51,6.90,30.27,2.67,6.49,6.48,43.58,6.41,9.96,1.53
1002,29780,65,94,45,49,12,81,85,36,57,57,92,43,72,62,32.86,16.11,4.49,4.38,11.13,53.46,1.51,8.44,5.97,44.77,6.44,16.86,3.49
1003,11241,65,98,1,55,69,1,100,1,97,97,99,34,56,1,38.60,0.00,5.96,15.96,0.00,100.00,0.00,17.68,16.80,50.89,4.79,10.10,0.00
1005,5201,23,12,41,15,12,62,15,72,53,53,6,7,12,1,5.28,15.56,0.71,4.29,7.28,18.98,3.81,8.12,7.36,35.34,1.15,1.65,0.00
1007,14838,25,30,40,15,32,59,23,10,27,27,10,15,28,35,9.17,15.29,0.70,7.64,6.84,22.52,0.49,5.89,5.67,36.21,2.08,3.91,1.28
1008,1171,4,5,14,1,11,15,1,1,43,43,5,3,33,1,3.84,10.19,0.00,4.24,2.57,5.35,0.00,7.20,7.41,34.84,0.34,4.87,0.00
1009,429,73,96,37,1,84,85,44,1,100,100,100,1,1,1,34.50,14.65,0.00,21.76,13.04,30.43,0.00,33.33,23.95,67.13,0.00,0.00,0.00
1010,3695,17,4,58,1,22,43,12,39,19,19,4,7,8,21,3.25,18.63,0.00,5.99,5.12,16.98,1.62,5.24,4.76,33.91,1.08,1.11,0.61
1011,1506,17,23,28,21,35,15,10,8,57,57,2,20,13,44,7.64,13.03,1.13,8.23,2.54,15.94,0.36,8.44,8.39,31.81,2.72,1.79,1.81
1012,539,15,39,30,1,9,1,7,1,77,77,1,10,4,1,10.95,13.50,0.00,3.85,0.00,13.47,0.00,10.79,10.27,29.87,1.48,0.56,0.00
1013,22394,84,63,94,34,78,88,87,38,82,82,90,77,55,76,16.98,32.89,2.22,18.95,14.53,55.84,1.58,11.74,10.86,44.16,24.16,9.97,6.21
1020,30952,56,34,64,38,58,71,58,47,61,61,59,64,53,67,9.88,20.07,2.78,12.91,8.62,36.27,1.96,8.81,6.71,40.78,13.78,9.29,4.31
1022,2840,43,79,77,72,14,21,16,1,96,96,80,45,24,1,22.29,23.54,12.78,4.60,3.18,19.58,0.00,16.73,7.95,42.57,6.90,3.35,0.00
1026,1036,10,13,35,37,5,35,16,1,34,34,26,11,13,35,5.61,14.29,2.70,2.81,4.38,19.26,0.00,6.49,6.34,38.42,1.64,1.74,1.31
1027,17787,32,28,43,28,17,45,66,15,46,46,35,43,38,36,8.56,15.85,1.68,5.23,5.36,40.29,0.70,7.40,7.25,39.11,6.42,5.87,1.34
1028,16017,12,13,26,53,18,49,9,16,31,31,79,22,38,50,5.61,12.64,5.26,5.48,5.75,15.10,0.73,6.27,6.26,42.50,2.86,5.89,2.25
1029,717,30,55,21,13,21,15,5,75,93,93,9,4,22,1,14.92,11.71,0.56,5.97,2.55,12.42,4.14,14.74,14.70,35.98,0.56,3.07,0.00
1030,11250,24,35,53,28,23,47,15,20,12,12,18,38,33,43,10.06,17.61,1.69,6.16,5.54,18.97,0.91,4.49,4.80,37.48,5.52,4.97,1.78
1031,1369,65,85,20,1,43,82,73,28,95,95,80,31,18,1,25.20,11.48,0.00,9.57,11.48,44.00,1.22,15.85,15.22,42.59,4.31,2.41,0.00
1032,611,2,6,1,1,18,3,3,1,9,9,71,7,31,1,3.93,1.55,0.00,5.43,1.08,9.35,0.00,4.24,3.53,41.73,1.15,4.58,0.00
1033,6304,12,7,18,1,25,35,8,72,6,6,43,37,17,1,4.18,11.22,0.00,6.48,4.39,14.55,3.84,3.67,3.47,39.72,5.33,2.25,0.00
1034,2190,15,35,25,6,18,12,7,19,45,45,5,13,16,1,10.03,12.46,0.18,5.51,2.24,13.54,0.87,7.37,7.59,34.61,1.87,2.19,0.00
1035,5324,14,19,15,19,10,67,34,12,1,1,93,32,49,39,6.85,10.59,0.96,3.89,8.04,26.79,0.57,1.54,1.50,44.91,4.36,8.08,1.53
1036,5179,10,11,30,5,17,25,2,10,46,46,73,8,24,24,5.18,13.41,0.12,5.32,3.55,7.93,0.47,7.41,6.61,41.90,1.24,3.38,0.73
1037,731,10,39,1,26,5,1,1,1,94,94,1,57,11,1,10.84,0.00,1.50,2.76,0.00,6.44,0.00,15.63,14.25,24.35,10.53,1.50,0.00
1038,2794,9,15,33,18,2,39,23,1,1,1,37,1,7,20,6.05,13.95,0.89,1.65,4.78,22.37,0.00,1.91,2.43,39.33,0.00,1.00,0.56
1039,1236,13,19,28,11,9,35,16,15,46,46,3,21,23,1,6.80,13.04,0.49,3.74,4.40,19.37,0.70,7.43,7.34,33.41,2.75,3.24,0.00
1040,40342,95,90,96,45,85,94,90,68,89,89,85,91,37,90,28.77,35.05,3.81,22.71,23.26,59.61,3.39,13.36,12.96,43.22,49.49,5.68,13.13
1050,2513,24,31,42,43,32,48,8,51,9,9,6,33,21,1,9.34,15.66,3.54,7.75,5.63,14.60,2.19,4.12,4.17,35.02,4.54,2.83,0.00
1053,1772,49,74,77,43,43,5,23,29,64,64,62,49,38,1,20.42,23.53,3.50,9.64,1.40,22.42,1.23,9.09,8.35,41.03,8.01,5.81,0.00
1054,1993,7,23,15,17,16,9,7,16,10,10,80,20,39,15,7.70,10.51,0.85,5.06,1.94,13.59,0.73,4.26,4.27,42.65,2.61,6.07,0.36
1056,21348,28,10,23,24,70,56,25,11,44,44,16,41,67,77,4.85,12.11,1.34,16.10,6.46,23.27,0.54,7.25,6.69,37.33,6.12,14.08,6.54
1057,8712,23,29,50,1,35,16,12,1,63,63,5,8,12,18,8.79,17.06,0.00,8.27,2.72,16.98,0.00,8.98,8.90,34.87,1.26,1.66,0.48
1060,15229,58,70,58,41,13,86,89,25,38,38,98,51,60,58,19.01,18.62,3.14,4.59,13.38,57.34,1.08,6.75,6.93,48.69,8.54,11.38,2.97
1062,11029,45,53,74,28,23,57,35,13,77,77,6,52,34,26,14.29,22.66,1.68,6.29,6.59,27.28,0.61,10.75,8.02,35.23,8.91,5.14,0.83
1063,572,1,1,1,43,1,1,1,1,34,34,100,63,76,1,0.00,0.00,3.50,0.00,0.00,0.00,0.00,6.43,8.19,96.50,13.11,19.23,0.00
1066,10,10,1,1,1,1,1,100,1,1,1,100,1,1,1,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1068,1803,11,14,35,5,27,13,3,1,44,44,3,12,17,1,5.71,14.29,0.11,6.87,2.40,10.03,0.00,7.29,6.91,32.89,1.77,2.33,0.00
1069,8976,40,16,58,16,46,74,32,42,65,65,17,6,17,1,6.27,18.57,0.75,10.23,9.20,26.26,1.77,9.15,8.83,37.37,0.98,2.23,0.00
1070,565,17,34,24,12,19,60,4,1,36,36,13,5,48,16,9.93,12.33,0.53,5.64,7.00,10.70,0.00,6.62,6.34,36.81,0.88,7.96,0.41
1071,1318,3,2,3,10,24,2,1,12,28,28,6,7,20,1,2.50,6.31,0.38,6.31,0.39,6.40,0.58,6.03,7.37,35.28,1.06,2.66,0.00
1072,1465,18,34,45,11,14,26,6,25,27,27,1,33,31,18,9.86,16.27,0.48,4.73,3.62,12.76,1.10,5.96,6.06,29.90,4.51,4.44,0.47
1073,6022,11,12,42,21,29,29,5,1,6,6,40,3,28,22,5.43,15.57,1.11,7.27,3.82,11.67,0.00,3.79,4.46,39.54,0.35,4.04,0.64
1074,247,43,1,100,1,65,1,96,1,1,1,92,1,1,1,0.00,57.63,0.00,14.62,0.00,71.08,0.00,0.00,0.00,44.53,0.00,0.00,0.00
1075,17781,32,34,37,46,32,66,36,24,39,39,99,36,40,16,9.93,14.61,3.95,7.68,7.76,27.59,1.07,6.84,6.82,48.96,5.02,6.32,0.39
1077,9640,15,12,29,1,43,39,11,5,20,20,11,3,31,1,5.37,13.15,0.00,9.71,4.77,16.77,0.22,5.33,5.26,36.41,0.36,4.61,0.00
1079,593,50,54,98,1,17,28,57,1,81,81,83,45,1,1,14.50,38.92,0.00,5.33,3.82,35.88,0.00,11.56,11.25,43.00,6.91,0.00,0.00
1080,2286,74,89,74,1,57,82,51,28,77,77,49,51,5,1,27.38,22.78,0.00,12.64,11.23,33.15,1.20,10.83,7.05,40.11,8.44,0.66,0.00
1081,1720,29,15,83,11,30,33,20,19,57,57,23,11,25,13,5.94,25.67,0.47,7.43,4.21,21.19,0.87,8.42,7.66,38.08,1.63,3.49,0.29
1082,10460,54,55,69,7,39,68,36,65,55,55,38,14,16,24,14.70,21.19,0.21,8.88,8.22,27.51,3.14,8.23,8.11,39.39,2.00,2.10,0.75
1083,2960,48,28,80,1,41,54,71,1,53,53,3,10,12,1,8.75,24.78,0.00,9.35,6.27,43.05,0.00,8.03,7.66,32.87,1.45,1.69,0.00
1084,155,13,17,82,1,3,32,1,1,8,8,89,19,69,1,6.45,25.53,0.00,2.17,4.17,0.00,0.00,4.11,3.66,43.87,2.58,15.48,0.00
1085,41509,44,31,58,30,37,66,46,39,65,65,66,49,54,45,9.35,18.58,1.87,8.61,7.76,31.42,1.63,9.22,8.53,41.35,7.93,9.57,1.88
1086,685,1,1,1,66,1,1,1,1,1,1,100,35,26,1,0.00,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,57.66,4.82,3.65,0.00
1088,493,40,55,19,45,46,93,52,1,1,1,85,62,1,1,14.81,11.34,3.85,10.18,20.00,33.45,0.00,0.00,0.00,43.20,12.78,0.00,0.00
1089,28600,62,39,71,43,52,75,64,57,75,75,65,56,67,70,10.94,21.85,3.58,11.52,9.35,39.03,2.53,10.59,10.15,41.22,9.99,14.41,4.84
1092,1291,62,81,89,6,47,18,63,1,50,50,1,1,15,1,22.77,29.08,0.15,10.42,2.86,38.93,0.00,7.79,7.68,26.96,0.00,2.01,0.00
1093,307,9,11,1,1,22,1,5,64,44,44,2,1,7,1,5.21,0.00,0.00,6.15,0.00,12.03,3.01,7.26,6.25,32.57,0.00,0.98,0.00
1094,336,55,11,52,1,49,80,92,60,67,67,99,12,1,1,5.06,17.39,0.00,10.82,10.81,62.70,2.70,9.40,8.87,49.70,1.79,0.00,0.00
1095,14514,8,6,18,40,21,35,4,24,19,19,21,23,39,13,4.07,11.16,3.11,5.98,4.41,10.58,1.05,5.22,5.18,37.85,3.05,6.05,0.26
1096,2494,13,24,5,7,22,45,9,39,16,16,10,8,7,18,7.82,7.22,0.20,6.05,5.34,15.21,1.61,5.00,5.27,36.21,1.28,0.96,0.50
1097,31,10,1,1,1,1,1,100,1,1,1,2,1,1,1,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,32.26,0.00,0.00,0.00
1098,1149,17,18,5,15,48,42,6,69,2,2,5,14,16,1,6.54,7.35,0.70,10.54,5.06,13.04,3.50,2.40,2.82,34.46,1.91,2.09,0.00
1103,2564,100,100,97,73,97,98,100,83,96,96,92,95,53,99,56.52,37.40,13.26,36.98,39.80,89.80,5.67,16.70,20.03,44.66,63.38,9.09,28.68
1104,23485,96,91,95,68,89,95,85,81,90,90,51,93,57,94,29.44,34.57,10.15,25.43,25.68,52.91,5.20,13.86,10.09,40.21,54.97,10.38,17.05
1105,12027,100,100,100,80,98,98,100,82,99,99,49,95,49,96,55.17,59.59,18.28,39.68,46.10,89.68,5.39,20.80,20.04,40.13,63.59,8.11,19.49
1106,16007,4,8,3,19,12,38,3,5,20,20,64,30,56,58,4.53,6.10,0.94,4.28,4.67,10.18,0.17,5.29,4.83,41.15,4.04,10.15,3.00
1107,11224,100,100,100,62,99,97,97,84,99,99,17,98,52,99,45.09,46.88,7.86,46.52,35.18,74.76,6.02,22.77,21.27,37.40,79.78,9.03,29.47
1108,27342,96,93,99,76,87,95,91,69,87,87,56,88,65,91,30.73,42.80,14.67,23.43,24.95,61.14,3.49,12.73,13.02,40.56,42.69,13.41,13.58
1109,30541,95,94,99,91,84,94,84,64,91,91,67,86,59,82,32.09,43.94,35.60,22.12,21.97,52.35,3.07,14.15,7.49,41.43,37.60,11.20,8.24
1118,14453,53,46,83,74,48,75,23,60,41,41,87,70,50,66,12.44,25.93,13.51,10.58,9.45,22.66,2.69,7.03,7.06,43.53,17.58,8.42,4.10
1119,13269,70,62,87,86,76,74,25,52,87,87,68,79,49,73,16.58,27.44,24.90,18.23,9.18,23.11,2.24,12.85,8.60,41.47,25.44,8.12,5.48
1128,2498,11,1,30,77,27,19,1,28,58,58,26,39,57,70,1.97,13.45,15.53,6.85,3.01,2.01,1.20,8.54,10.13,38.43,5.68,10.33,4.91
1129,7377,43,48,45,79,59,58,17,15,74,74,68,69,50,72,13.06,16.10,16.81,12.99,6.71,19.88,0.68,10.41,8.80,41.49,16.65,8.49,5.30
1151,9037,96,94,99,77,78,90,91,85,91,91,52,86,57,76,32.54,43.08,15.60,19.21,16.05,61.04,6.36,14.15,15.02,40.35,36.78,10.59,6.36
1199,0,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1201,45328,68,62,79,53,46,87,62,31,79,79,84,37,40,51,16.75,24.14,5.25,10.23,13.76,38.13,1.30,11.17,10.39,43.10,5.24,6.34,2.33
1220,8391,46,33,64,9,47,75,50,10,53,53,41,6,19,20,9.69,19.87,0.32,10.43,9.41,32.80,0.50,8.10,7.46,39.59,0.92,2.53,0.55
1222,812,17,7,79,1,48,1,5,1,2,2,80,5,33,1,4.31,24.08,0.00,10.67,0.00,11.88,0.00,2.54,2.19,42.61,0.74,4.80,0.00
1223,2294,16,21,42,17,30,11,2,7,66,66,14,10,21,29,7.14,15.57,0.83,7.47,2.16,7.56,0.29,9.29,8.88,37.05,1.53,2.92,0.98
1224,138,48,62,1,1,27,73,85,1,95,95,1,1,60,1,16.67,0.00,0.00,6.86,9.09,53.25,0.00,16.16,16.16,26.81,0.00,11.59,0.00
1225,3124,14,13,22,12,22,49,13,1,53,53,66,4,3,1,5.48,12.00,0.54,6.06,5.82,17.61,0.00,8.07,8.85,41.33,0.64,0.32,0.00
1226,6892,26,54,48,13,10,13,22,1,69,69,6,18,26,22,14.52,16.80,0.59,3.96,2.39,22.09,0.00,9.63,9.10,35.29,2.45,3.61,0.63
1229,114,6,12,1,1,1,86,11,1,1,1,89,1,51,1,5.26,0.00,0.00,0.00,13.11,16.39,0.00,0.00,0.00,43.86,0.00,8.77,0.00
1230,8048,30,30,36,32,42,42,42,12,31,31,61,59,64,62,9.04,14.57,2.08,9.50,5.12,29.84,0.58,6.23,7.86,40.92,11.48,13.02,3.51
1235,2866,15,20,10,16,33,52,6,1,51,51,3,4,24,28,6.94,9.24,0.77,7.81,6.10,12.60,0.00,7.88,8.00,33.50,0.66,3.28,0.91
1236,1538,15,1,39,29,5,4,16,72,88,88,7,33,48,48,1.20,15.01,1.76,2.87,1.15,19.47,3.82,13.19,12.78,35.37,4.62,8.06,2.10
1237,2841,11,6,25,32,30,3,5,5,87,87,3,2,9,12,4.03,12.48,2.01,7.34,1.02,12.30,0.20,12.71,12.11,33.37,0.14,1.27,0.20
1238,5950,35,38,53,19,38,75,33,1,20,20,62,22,36,53,10.70,17.66,0.97,8.70,9.51,26.48,0.00,5.30,5.26,40.97,2.91,5.56,2.53
1240,4603,41,52,2,18,18,80,60,35,96,96,98,22,51,28,13.95,5.32,0.91,5.44,10.84,37.38,1.47,17.26,15.00,48.38,2.95,8.78,0.95
1242,394,22,1,100,1,1,1,75,1,1,1,16,1,1,1,0.76,50.47,0.00,0.36,0.00,45.14,0.00,0.00,0.00,37.31,0.00,0.00,0.00
1243,374,2,11,9,1,3,30,1,1,1,1,13,1,23,1,5.08,8.94,0.00,2.17,3.95,6.21,0.00,1.39,1.24,36.90,0.00,3.21,0.00
1244,115,34,65,90,1,31,1,15,1,1,1,97,1,47,1,17.39,30.00,0.00,7.48,0.00,19.05,0.00,0.00,0.00,46.96,0.00,7.83,0.00
1245,950,13,38,25,27,2,5,12,16,52,52,61,18,29,1,10.79,12.50,1.58,1.96,1.44,17.03,0.72,8.02,5.97,40.95,2.42,4.21,0.00
1247,15737,71,63,77,20,63,91,71,7,69,69,82,23,23,43,17.03,23.63,1.02,14.07,17.71,42.98,0.33,9.64,9.33,42.86,3.02,3.15,1.77
1253,708,14,11,46,19,34,54,1,1,2,2,98,13,52,1,5.08,16.32,0.99,8.05,6.29,3.64,0.00,2.61,2.25,48.16,1.84,9.04,0.00
1254,954,4,16,13,9,9,19,3,1,5,5,95,8,17,1,6.18,10.07,0.31,3.80,2.95,9.32,0.00,3.45,5.17,45.81,1.26,2.31,0.00
1255,852,21,12,23,7,57,24,4,34,68,68,57,7,31,20,5.27,12.11,0.23,12.56,3.40,11.05,1.42,9.57,7.38,40.61,1.17,4.46,0.57
1256,796,29,25,61,51,58,13,3,35,46,46,1,14,17,1,8.09,19.28,4.90,12.85,2.37,10.39,1.48,7.46,8.06,30.65,2.01,2.26,0.00
1257,2203,22,57,3,12,42,15,22,1,26,26,59,2,24,1,15.39,6.43,0.54,9.49,2.53,22.00,0.00,5.86,6.08,40.76,0.27,3.36,0.00
1258,334,1,2,1,13,1,23,1,1,1,1,99,6,36,1,2.69,1.08,0.60,0.32,3.35,4.47,0.00,0.65,0.52,48.80,0.90,5.39,0.00
1259,563,8,15,10,6,28,4,6,1,46,46,2,1,9,1,6.04,9.34,0.18,7.09,1.15,13.08,0.00,7.46,4.86,31.62,0.00,1.24,0.00
1260,485,63,2,100,1,94,1,77,79,67,67,6,1,1,1,2.68,53.13,0.00,30.74,0.00,46.53,4.86,9.40,8.87,35.05,0.00,0.00,0.00
1262,1239,41,58,16,47,65,23,71,1,6,6,99,24,56,1,15.64,10.79,4.28,14.70,3.31,43.03,0.00,3.76,3.69,48.91,3.15,10.09,0.00
1264,153,22,63,1,1,3,36,14,1,99,99,100,1,5,1,16.89,2.38,0.00,2.19,4.55,18.18,0.00,20.00,13.51,66.01,0.00,0.65,0.00
1266,1430,2,14,1,6,4,28,4,1,2,2,89,7,22,1,5.74,3.16,0.14,2.46,3.78,10.59,0.00,2.18,2.53,43.92,1.12,3.01,0.00
1267,7884,22,36,20,42,27,65,28,5,15,15,99,39,50,41,10.35,11.47,3.41,6.92,7.73,24.36,0.17,4.90,3.98,50.39,5.58,8.45,1.64
1270,789,4,13,12,1,8,2,1,1,44,44,1,9,25,1,5.45,9.79,0.00,3.43,0.63,1.27,0.00,7.29,6.89,28.90,1.39,3.55,0.00
1301,17766,52,52,61,26,36,77,70,9,37,37,80,43,43,44,14.05,19.24,1.49,8.46,9.92,42.65,0.43,6.70,6.27,42.55,6.42,6.76,1.83
1330,1432,13,21,39,8,4,18,16,58,3,3,6,2,17,1,7.24,15.12,0.28,2.38,2.89,19.29,2.57,3.04,2.21,35.13,0.21,2.30,0.00
1331,13290,54,56,52,12,57,78,33,17,87,87,9,42,18,13,15.16,17.52,0.53,12.57,9.98,26.34,0.79,12.71,11.58,36.03,6.19,2.46,0.26
1337,2593,18,17,48,11,22,54,11,7,32,32,43,23,13,29,6.38,16.76,0.42,6.13,6.24,16.49,0.36,6.34,6.01,39.72,3.12,1.81,0.98
1338,196,9,2,9,1,6,54,6,1,95,95,89,1,15,1,2.55,8.77,0.00,2.98,6.33,12.66,0.00,16.03,14.19,43.88,0.00,2.04,0.00
1339,1378,31,39,57,16,30,16,15,23,82,82,90,4,23,11,10.85,18.38,0.80,7.46,2.69,18.99,1.01,11.76,10.97,44.12,0.58,3.19,0.17
1340,1686,21,29,5,9,43,20,26,15,62,62,8,6,17,1,8.92,7.48,0.36,9.56,3.07,23.46,0.70,8.92,8.93,35.82,1.01,2.31,0.00
1341,1711,2,5,28,8,1,2,2,1,5,5,2,19,12,1,3.74,13.10,0.29,1.51,0.73,8.43,0.00,3.55,3.71,31.27,2.51,1.58,0.00
1342,1616,19,26,35,43,7,1,80,1,1,1,7,22,36,1,8.22,14.24,3.47,3.24,0.00,49.38,0.00,0.00,0.00,35.64,2.97,5.57,0.00
1343,46,6,1,1,1,38,63,1,1,1,1,5,1,76,1,0.00,0.00,0.00,8.70,7.41,0.00,0.00,0.00,0.00,34.78,0.00,19.57,0.00
1344,1559,32,34,60,30,21,52,25,13,73,73,4,22,15,1,9.93,19.00,1.80,5.93,6.07,23.32,0.64,10.23,9.57,34.06,2.89,1.99,0.00
1346,496,16,42,11,1,18,44,5,34,19,19,75,23,19,38,11.59,9.55,0.00,5.51,5.24,11.90,1.43,5.22,4.82,42.14,3.02,2.62,1.43
1347,143,24,43,75,1,1,1,51,1,1,1,100,1,1,1,11.89,22.86,0.00,0.00,0.00,33.33,0.00,0.00,0.00,58.04,0.00,0.00,0.00
1349,1078,25,8,72,14,54,1,2,1,90,90,8,1,26,1,4.56,22.01,0.65,11.98,0.00,7.17,0.00,13.70,12.03,35.90,0.00,3.71,0.00
1350,104,15,5,4,1,9,91,22,48,46,46,90,1,54,1,3.85,6.45,0.00,3.66,18.00,22.00,2.00,7.41,7.27,44.23,0.00,9.62,0.00
1351,2212,18,38,32,14,6,10,15,36,54,54,70,14,22,1,10.71,13.84,0.63,3.14,2.02,18.96,1.49,8.16,8.21,41.64,1.99,2.98,0.00
1354,1641,9,36,6,37,9,21,8,11,13,13,4,41,47,19,10.26,8.00,2.62,3.77,3.16,14.59,0.53,4.61,4.73,34.37,5.97,7.80,0.53
1355,925,20,27,51,11,4,42,6,55,35,35,73,1,7,1,8.54,17.23,0.43,2.50,5.02,12.68,2.39,6.56,5.96,41.95,0.00,0.97,0.00
1360,3022,11,7,51,7,17,10,21,1,21,21,5,18,24,18,4.34,17.27,0.23,5.21,2.03,21.88,0.00,5.43,5.69,34.68,2.48,3.34,0.49
1364,7880,66,51,71,6,60,77,46,68,89,89,5,9,21,12,13.94,21.98,0.18,13.37,9.81,31.53,3.33,13.35,12.01,34.86,1.33,2.79,0.24
1366,1167,4,2,18,12,3,10,9,1,54,54,41,4,31,21,2.38,11.15,0.51,2.05,2.02,15.32,0.00,8.19,8.27,39.59,0.60,4.54,0.60
1367,666,40,70,59,6,50,10,7,71,1,1,28,25,10,1,19.05,18.88,0.15,11.06,2.02,13.77,3.64,1.68,1.58,38.59,3.30,1.35,0.00
1368,1336,32,52,28,6,52,5,9,27,83,83,9,12,18,20,14.02,13.15,0.15,11.47,1.36,15.15,1.17,11.86,10.96,36.08,1.80,2.40,0.58
1370,3990,25,26,17,7,26,44,48,48,25,25,80,3,16,19,8.24,10.81,0.23,6.81,5.32,32.18,2.04,5.79,5.52,42.63,0.45,2.13,0.51
1373,4355,11,17,42,11,8,19,20,1,24,24,8,11,22,23,6.46,15.65,0.48,3.50,2.98,21.42,0.00,5.63,5.40,35.84,1.58,2.96,0.68
1375,3680,49,76,27,40,29,62,87,14,2,2,60,40,66,55,21.16,12.93,3.07,7.30,7.20,55.63,0.65,2.46,2.74,40.82,5.73,13.89,2.68
1376,5275,81,73,81,35,71,86,80,45,81,81,91,46,44,41,20.02,25.17,2.41,16.40,13.45,49.02,1.91,11.46,10.93,44.47,7.07,7.13,1.60
1378,726,13,29,15,1,41,4,3,35,4,4,14,12,11,1,8.85,10.61,0.00,9.34,1.19,9.79,1.48,3.35,4.02,37.05,1.79,1.52,0.00
1379,843,27,65,33,9,25,39,9,18,11,11,29,7,30,60,17.44,13.89,0.36,6.66,4.79,15.16,0.80,4.40,3.50,38.67,1.07,4.39,3.19
1420,40462,84,71,80,44,75,88,76,77,86,86,72,77,60,73,19.38,24.64,3.72,17.82,14.51,45.74,4.55,12.61,11.65,41.83,23.93,11.39,5.54
1430,6160,4,22,6,19,10,10,2,1,31,31,1,4,8,1,7.42,7.56,0.96,3.93,2.08,7.22,0.00,6.26,6.15,30.39,0.60,1.14,0.00
1431,3177,16,25,12,12,29,12,5,62,49,49,3,14,33,20,8.01,9.62,0.50,7.24,2.29,11.83,2.86,7.71,7.09,33.36,1.92,4.88,0.57
1432,7489,40,43,60,41,18,29,59,12,77,77,51,37,55,55,11.90,19.11,3.18,5.47,3.87,36.70,0.57,10.86,9.41,40.21,5.29,9.95,2.75
1434,1658,20,40,28,81,40,1,4,1,64,64,1,65,53,1,11.16,13.01,18.94,9.17,0.00,11.25,0.00,9.12,9.85,19.66,14.35,9.29,0.00
1436,3897,28,30,11,8,56,46,26,1,73,73,63,2,9,1,9.08,9.50,0.31,12.31,5.47,23.86,0.00,10.21,9.56,41.11,0.18,1.26,0.00
1438,553,42,96,73,6,11,1,3,1,100,100,49,1,46,1,34.36,22.49,0.18,4.26,0.00,10.30,0.00,38.51,38.73,40.14,0.00,7.41,0.00
1440,20320,82,70,91,33,69,86,80,54,74,74,49,49,48,43,19.09,30.39,2.12,15.69,13.44,49.30,2.33,10.44,8.86,40.11,7.98,7.94,1.78
1450,11120,2,3,13,19,1,17,7,1,33,33,2,10,48,30,3.17,9.88,0.94,1.12,2.76,14.20,0.00,6.40,5.68,32.23,1.50,7.99,1.03
1451,4758,9,23,40,53,1,4,2,1,59,59,3,28,55,22,7.66,15.19,5.42,1.29,1.27,8.41,0.00,8.58,9.40,33.04,3.70,9.90,0.67
1452,4474,6,14,7,39,20,14,2,12,32,32,2,4,16,1,5.83,8.26,2.95,5.71,2.45,8.48,0.57,6.33,6.29,31.14,0.63,2.12,0.00
1453,41206,71,48,71,48,61,78,74,77,67,67,54,66,59,73,13.13,21.94,4.32,13.52,10.04,44.89,4.51,9.40,8.23,40.44,15.30,10.98,5.49
1460,9359,4,7,5,10,2,35,12,7,30,30,5,6,51,38,4.29,7.53,0.38,1.73,4.38,17.21,0.35,6.18,6.38,34.62,0.95,8.78,1.45
1462,11029,21,30,38,36,32,21,26,18,13,13,10,28,46,43,9.17,14.86,2.42,7.74,3.15,23.51,0.82,4.67,4.77,36.38,3.73,7.54,1.75
1463,11953,12,13,23,20,22,9,23,17,36,36,3,17,27,21,5.56,12.16,1.02,5.99,1.95,22.63,0.78,6.62,6.95,33.60,2.36,3.84,0.59
1464,7436,46,45,57,65,62,41,46,1,45,45,1,68,56,22,12.28,18.36,8.88,13.72,4.98,31.49,0.00,7.31,8.36,28.71,16.46,10.23,0.64
1467,472,11,52,1,1,1,1,1,1,87,87,91,1,70,1,13.98,0.00,0.00,0.00,0.00,0.00,0.00,12.72,11.76,44.28,0.00,15.68,0.00
1468,3717,11,25,3,1,31,1,5,1,68,68,14,1,27,1,7.99,6.06,0.00,7.51,0.00,12.03,0.00,9.50,8.92,37.05,0.00,3.77,0.00
1469,7348,6,7,8,5,7,14,15,57,14,14,14,9,21,18,4.25,8.41,0.11,3.27,2.51,18.81,2.55,4.78,5.26,36.96,1.42,2.90,0.47
1473,7414,8,4,25,17,23,20,5,40,8,8,2,26,31,21,3.42,12.49,0.84,6.18,3.02,12.31,1.66,4.05,3.58,32.47,3.40,4.48,0.61
1474,1934,7,1,44,1,19,1,10,1,23,23,4,1,12,1,1.71,16.04,0.00,5.58,0.00,15.78,0.00,5.57,5.45,34.13,0.00,1.60,0.00
1475,10542,35,28,29,13,51,77,34,45,25,25,9,20,17,16,8.65,13.23,0.55,11.23,9.93,26.62,1.87,5.77,5.73,35.93,2.70,2.28,0.41
1501,16208,10,7,8,25,29,52,10,8,26,26,70,29,40,34,4.12,8.50,1.41,7.21,6.06,15.80,0.38,5.82,6.34,41.66,3.95,6.29,1.23
