zcta,population,sdi_score,fpl_100_score,sing_parent_fam_score,black_score,dropout_score,no_car_score,rent_occup_score,crowding_score,nonemp_score,unemp_score,highneeds_score,hisp_score,foreignb_score,lingisol_score,percnt_ltfpl100,percnt_singlparntfly,percnt_black,percnt_dropout,percnt_hhnocar,percnt_rentoccup,percnt_crowding,percnt_nonemp,percnt_unemp,percnt_highneeds,percnt_hispanic,percnt_frgnborn,percnt_lingisol
21252,2766,2,1,1,87,1,1,1,1,96,96,100,29,36,1,0.00,0.00,27.40,0.00,0.00,0.00,0.00,16.85,15.30,53.87,3.90,5.53,0.00
21286,20449,35,42,32,67,20,83,59,14,22,22,98,28,49,49,11.53,13.83,9.80,5.76,11.84,36.56,0.67,5.50,4.10,48.26,3.78,8.19,2.20
21401,37407,35,22,38,80,27,68,61,55,23,23,93,57,62,48,7.51,14.87,17.99,6.90,8.10,37.71,2.38,5.61,4.44,44.94,10.62,12.01,2.16
21402,6103,14,2,15,64,5,1,100,1,10,10,1,48,31,1,2.40,10.53,8.72,2.88,0.00,93.19,0.00,4.28,0.44,24.53,7.64,4.47,0.00
21403,30521,34,14,33,75,45,57,61,61,8,8,78,67,64,57,5.86,13.92,14.28,10.06,6.58,37.63,2.79,4.07,3.61,42.33,15.89,13.05,2.94
21405,528,1,1,1,1,1,1,1,1,1,1,99,1,13,1,1.52,0.00,0.00,0.00,0.00,0.00,0.00,1.74,1.08,49.62,0.00,1.70,0.00
21409,20288,3,5,25,53,7,11,5,4,8,8,16,45,39,1,3.73,12.48,5.43,3.24,2.14,12.47,0.08,4.01,4.26,37.21,6.93,6.09,0.00
21502,43614,65,72,56,68,57,85,50,28,72,72,34,15,16,23,19.64,18.15,10.15,12.60,12.71,32.86,1.21,10.04,8.69,39.02,2.05,2.19,0.68
21520,2241,20,37,13,1,25,25,28,1,55,55,8,7,18,1,10.60,9.89,0.00,6.57,3.48,24.57,0.00,8.29,7.91,35.88,1.07,2.45,0.00
21521,1301,22,44,12,1,40,32,16,1,42,42,97,19,19,1,12.01,9.74,0.00,9.04,4.12,19.59,0.00,7.12,6.93,46.50,2.54,2.61,0.00
21522,103,1,1,1,1,1,1,1,1,1,1,1,1,47,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.77,0.00,7.77,0.00
21523,235,26,3,63,1,70,1,2,1,94,94,99,15,1,1,2.98,19.70,0.00,16.11,0.00,7.22,0.00,15.38,15.38,50.21,2.13,0.00,0.00
21524,536,59,40,82,1,90,74,26,1,71,71,99,1,1,1,11.19,25.35,0.00,25.71,9.17,23.58,0.00,9.96,9.12,51.12,0.00,0.00,0.00
21529,481,17,7,1,1,62,27,17,66,5,5,98,57,35,73,4.37,2.96,0.00,13.87,3.67,19.72,3.21,3.48,3.40,48.02,10.60,5.20,5.50
21530,1808,35,77,3,13,54,3,15,1,98,98,100,8,16,46,21.31,5.74,0.61,11.86,1.10,18.57,0.00,18.77,16.74,51.83,1.27,2.10,1.93
21531,2311,52,59,56,1,59,72,32,17,53,53,91,9,12,12,15.84,18.25,0.00,13.18,8.80,26.20,0.76,8.11,7.76,44.35,1.34,1.69,0.22
